"OBJECTID","stop_id","stop_name","stop_desc","bin_3","bin_6","bin_9","bin_12","bin_15","bin_18","bin_21","bin_24","bin_27","bin_30","bin_33","bin_36","bin_39","bin_42","bin_45","bin_48","sum_trips","bin_3_perc","bin_6_perc","bin_9_perc","bin_12_perc","bin_15_perc","bin_18_perc","bin_21_perc","bin_24_perc","bin_27_perc","bin_30_perc","bin_33_perc","bin_36_perc","bin_39_perc","bin_42_perc","bin_45_perc","bin_48_perc"
1,"BP10","STN Fajar","Segar Road",0,3,8,9,15,13,4,2,1,1,1,2,2,2,0,0,63,0.000000,0.047619,0.126984,0.142857,0.238095,0.206349,0.063492,0.031746,0.015873,0.015873,0.015873,0.031746,0.031746,0.031746,0.000000,0.000000
2,"BP11","STN Segar","Bukit Panjang Ring Road",0,6,6,1,7,5,10,3,0,0,0,0,1,0,0,2,41,0.000000,0.146341,0.146341,0.024390,0.170731,0.121951,0.243902,0.073170,0.000000,0.000000,0.000000,0.000000,0.024390,0.000000,0.000000,0.048780
3,"BP12","STN Jelapang","Bukit Panjang Ring Road",2,4,3,2,4,1,1,1,1,2,1,2,0,1,0,0,25,0.079999,0.159999,0.119999,0.079999,0.159999,0.039999,0.039999,0.039999,0.039999,0.079999,0.039999,0.079999,0.000000,0.039999,0.000000,0.000000
4,"BP13","STN Senja","Bukit Panjang Ring Road",1,5,0,0,3,8,3,0,0,2,2,2,0,0,1,0,27,0.037037,0.185185,0.000000,0.000000,0.111111,0.296296,0.111111,0.000000,0.000000,0.074074,0.074074,0.074074,0.000000,0.000000,0.037037,0.000000
5,"BP3","STN Keat Hong","Choa Chu Kang Way",1,0,0,2,8,1,4,0,2,1,1,0,0,2,0,0,22,0.045454,0.000000,0.000000,0.090909,0.363636,0.045454,0.181818,0.000000,0.090909,0.045454,0.045454,0.000000,0.000000,0.090909,0.000000,0.000000
6,"BP4","STN Teck Whye","Choa Chu Kang Way",8,12,3,15,52,15,29,4,6,28,16,7,2,1,1,0,199,0.040201,0.060301,0.015075,0.075376,0.261306,0.075376,0.145728,0.020100,0.030150,0.140703,0.080402,0.035175,0.010050,0.005025,0.005025,0.000000
7,"BP5","STN Phoenix","Choa Chu Kang Way",0,1,1,0,3,1,0,0,0,1,1,1,0,0,0,0,9,0.000000,0.111111,0.111111,0.000000,0.333333,0.111111,0.000000,0.000000,0.000000,0.111111,0.111111,0.111111,0.000000,0.000000,0.000000,0.000000
8,"BP6","STN Bukit Panjang","Petir Road",0,0,0,2,3,2,0,0,1,1,3,1,0,0,1,0,14,0.000000,0.000000,0.000000,0.142857,0.214285,0.142857,0.000000,0.000000,0.071428,0.071428,0.214285,0.071428,0.000000,0.000000,0.071428,0.000000
9,"BP7","STN Petir","Petir Road",2,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,9,0.222222,0.222222,0.111111,0.111111,0.000000,0.222222,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,"BP8","STN Pending","Pending Road",0,2,0,0,3,3,1,1,0,0,1,0,0,0,0,1,12,0.000000,0.166666,0.000000,0.000000,0.250000,0.250000,0.083333,0.083333,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.083333
11,"BP9","STN Bangkit","Bukit Panjang Ring Road",0,5,5,1,0,3,2,1,0,0,1,0,0,0,0,0,18,0.000000,0.277777,0.277777,0.055555,0.000000,0.166666,0.111111,0.055555,0.000000,0.000000,0.055555,0.000000,0.000000,0.000000,0.000000,0.000000
12,"CC1/NE6/NS24","STN Dhoby Ghaut","11 Orchard Road",2,40,236,348,235,120,221,155,108,26,4,5,0,0,0,0,1500,0.001333,0.026666,0.157333,0.231999,0.156666,0.079999,0.147333,0.103333,0.071999,0.017333,0.002666,0.003333,0.000000,0.000000,0.000000,0.000000
13,"CC10","STN MacPherson","171 Paya Lebar Road",1,39,239,171,115,107,62,59,79,54,22,23,2,0,0,0,973,0.001027,0.040082,0.245632,0.175745,0.118191,0.109969,0.063720,0.060637,0.081192,0.055498,0.022610,0.023638,0.002055,0.000000,0.000000,0.000000
14,"CC11","STN Tai Seng","33 Upper Paya Lebar Road",14,47,209,98,95,142,30,64,43,44,64,15,0,1,0,0,866,0.016166,0.054272,0.241339,0.113163,0.109699,0.163972,0.034642,0.073903,0.049653,0.050808,0.073903,0.017321,0.000000,0.001154,0.000000,0.000000
15,"CC12","STN Bartley","90 Bartley Road",3,15,10,7,4,7,6,7,0,5,7,0,0,0,0,0,71,0.042253,0.211267,0.140845,0.098591,0.056338,0.098591,0.084507,0.098591,0.000000,0.070422,0.098591,0.000000,0.000000,0.000000,0.000000,0.000000
16,"CC13/NE12","STN Serangoon","Upper Serangoon Road",5,58,53,33,42,28,26,23,17,12,7,0,0,0,0,0,304,0.016447,0.190789,0.174342,0.108552,0.138157,0.092105,0.085526,0.075657,0.055921,0.039473,0.023026,0.000000,0.000000,0.000000,0.000000,0.000000
17,"CC14","STN Lorong Chuan","150 Serangoon Ave 3",15,43,32,43,41,22,13,7,2,13,3,1,1,0,0,0,236,0.063559,0.182203,0.135593,0.182203,0.173728,0.093220,0.055084,0.029661,0.008474,0.055084,0.012711,0.004237,0.004237,0.000000,0.000000,0.000000
18,"CC15/NS17","STN Bishan","100 Bishan Street 11",25,134,93,97,61,64,110,21,92,63,32,0,1,0,0,0,793,0.031525,0.168978,0.117276,0.122320,0.076923,0.080706,0.138713,0.026481,0.116015,0.079445,0.040353,0.000000,0.001261,0.000000,0.000000,0.000000
19,"CC16","STN Marymount","60 Marymout Road",6,44,66,68,54,32,40,5,12,42,5,3,0,0,0,0,377,0.015915,0.116710,0.175066,0.180371,0.143236,0.084880,0.106100,0.013262,0.031830,0.111405,0.013262,0.007957,0.000000,0.000000,0.000000,0.000000
20,"CC2","STN Bras Basah","65 Bras Basah Road",0,8,63,102,93,39,48,22,24,16,1,0,0,0,0,0,416,0.000000,0.019230,0.151442,0.245192,0.223557,0.093750,0.115384,0.052884,0.057692,0.038461,0.002403,0.000000,0.000000,0.000000,0.000000,0.000000
21,"CC3","STN Esplanade","90 Bras Basah Road",4,15,54,62,98,38,17,6,2,2,0,0,0,0,0,0,298,0.013422,0.050335,0.181208,0.208053,0.328859,0.127516,0.057046,0.020134,0.006711,0.006711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,"CC4","STN Promenade","2 Temasek Ave",2,55,188,365,346,320,167,47,39,66,8,2,0,0,0,0,1605,0.001246,0.034267,0.117133,0.227414,0.215576,0.199376,0.104049,0.029283,0.024299,0.041121,0.004984,0.001246,0.000000,0.000000,0.000000,0.000000
23,"CC5","STN Nicoll Highway","300 Beach Road",0,11,30,139,122,110,39,27,19,33,6,0,0,0,0,0,536,0.000000,0.020522,0.055970,0.259328,0.227611,0.205223,0.072761,0.050373,0.035447,0.061567,0.011194,0.000000,0.000000,0.000000,0.000000,0.000000
24,"CC6","STN Stadium","3 Stadium Walk",2,21,26,34,30,19,9,8,7,10,0,2,0,0,0,0,168,0.011904,0.125000,0.154761,0.202380,0.178571,0.113095,0.053571,0.047619,0.041666,0.059523,0.000000,0.011904,0.000000,0.000000,0.000000,0.000000
25,"CC7","STN Mountbatten","301 Mountbatten",0,25,35,63,59,25,19,10,7,9,4,1,0,0,0,0,257,0.000000,0.097276,0.136186,0.245136,0.229571,0.097276,0.073929,0.038910,0.027237,0.035019,0.015564,0.003891,0.000000,0.000000,0.000000,0.000000
26,"CC8","STN Dakota","211 Old Airport Road",2,7,7,10,15,5,3,2,4,4,2,0,0,0,0,0,61,0.032786,0.114754,0.114754,0.163934,0.245901,0.081967,0.049180,0.032786,0.065573,0.065573,0.032786,0.000000,0.000000,0.000000,0.000000,0.000000
27,"CC9/EW8","STN Paya Lebar","30 Paya Lebar Road",25,170,157,240,247,72,65,22,112,85,59,33,10,0,1,0,1298,0.019260,0.130970,0.120955,0.184899,0.190292,0.055469,0.050077,0.016949,0.086286,0.065485,0.045454,0.025423,0.007704,0.000000,0.000770,0.000000
28,"CG1","STN Expo","21 Changi South Avenue 1",33,167,392,298,199,199,78,62,104,64,74,53,49,19,7,1,1799,0.018343,0.092829,0.217898,0.165647,0.110617,0.110617,0.043357,0.034463,0.057809,0.035575,0.041133,0.029460,0.027237,0.010561,0.003891,0.000555
29,"CG2","STN Changi Airport","70 Airport Boulevard",0,1,86,94,103,74,57,34,23,43,38,17,20,28,10,7,635,0.000000,0.001574,0.135433,0.148031,0.162204,0.116535,0.089763,0.053543,0.036220,0.067716,0.059842,0.026771,0.031496,0.044094,0.015748,0.011023
30,"EW1","STN Pasir Ris","10 Pasir Ris Central",3,48,28,28,31,12,14,9,5,4,6,0,12,10,7,6,223,0.013452,0.215246,0.125560,0.125560,0.139013,0.053811,0.062780,0.040358,0.022421,0.017937,0.026905,0.000000,0.053811,0.044843,0.031390,0.026905
31,"EW10","STN Kallang","5 Sims Avenue",0,28,34,20,39,37,5,11,13,7,6,1,0,0,0,0,201,0.000000,0.139303,0.169154,0.099502,0.194029,0.184079,0.024875,0.054726,0.064676,0.034825,0.029850,0.004975,0.000000,0.000000,0.000000,0.000000
32,"EW11","STN Lavender","50 Kallang Road",2,34,154,226,165,285,117,153,127,69,32,1,1,1,0,0,1367,0.001463,0.024871,0.112655,0.165325,0.120702,0.208485,0.085588,0.111923,0.092904,0.050475,0.023408,0.000731,0.000731,0.000731,0.000000,0.000000
33,"EW12","STN Bugis","320 Victoria Street",1,60,200,533,347,489,409,285,187,80,12,8,2,7,0,1,2621,0.000381,0.022892,0.076306,0.203357,0.132392,0.186570,0.156047,0.108737,0.071346,0.030522,0.004578,0.003052,0.000763,0.002670,0.000000,0.000381
34,"EW13/NS25","STN City Hall","150 North Bridge Road",2,69,351,588,645,473,635,328,171,110,8,1,0,1,0,0,3382,0.000591,0.020402,0.103784,0.173861,0.190715,0.139858,0.187758,0.096984,0.050561,0.032525,0.002365,0.000295,0.000000,0.000295,0.000000,0.000000
35,"EW14/NS26","STN Raffles Place","5 Malacca Street",50,500,1145,2325,2428,1299,2051,1114,352,313,32,7,0,1,0,0,11617,0.004304,0.043040,0.098562,0.200137,0.209004,0.111818,0.176551,0.095893,0.030300,0.026943,0.002754,0.000602,0.000000,0.000086,0.000000,0.000000
36,"EW15","STN Tanjong Pagar","120 Maxwell Road",68,235,580,1297,1854,1331,1566,1137,130,321,94,3,3,1,0,0,8620,0.007888,0.027262,0.067285,0.150464,0.215081,0.154408,0.181670,0.131902,0.015081,0.037238,0.010904,0.000348,0.000348,0.000116,0.000000,0.000000
37,"EW16/NE3","STN Outram Park","Eu Tong Sen Street",1,42,149,319,521,439,395,245,69,79,34,4,0,0,0,0,2297,0.000435,0.018284,0.064867,0.138876,0.226817,0.191118,0.171963,0.106660,0.030039,0.034392,0.014801,0.001741,0.000000,0.000000,0.000000,0.000000
38,"EW17","STN Tiong Bahru","300 Tiong Bahru Road",6,24,34,99,157,261,119,101,87,48,7,1,0,1,0,0,945,0.006349,0.025396,0.035978,0.104761,0.166137,0.276190,0.125925,0.106878,0.092063,0.050793,0.007407,0.001058,0.000000,0.001058,0.000000,0.000000
39,"EW18","STN Redhill","920 Tiong Bahru Road",4,14,39,107,231,342,163,105,158,73,2,1,0,0,0,0,1239,0.003228,0.011299,0.031476,0.086359,0.186440,0.276029,0.131557,0.084745,0.127522,0.058918,0.001614,0.000807,0.000000,0.000000,0.000000,0.000000
40,"EW19","STN Queenstown","301 Commonwealth Ave",3,31,20,48,136,212,70,29,113,25,1,1,0,0,0,0,689,0.004354,0.044992,0.029027,0.069666,0.197387,0.307692,0.101596,0.042089,0.164005,0.036284,0.001451,0.001451,0.000000,0.000000,0.000000,0.000000
41,"EW2","STN Tampines","20 Tampines Central 5",15,253,87,120,61,64,38,58,78,56,23,47,40,21,3,5,969,0.015479,0.261093,0.089783,0.123839,0.062951,0.066047,0.039215,0.059855,0.080495,0.057791,0.023735,0.048503,0.041279,0.021671,0.003095,0.005159
42,"EW20","STN Commonwealth","375 Commonwealth Ave",1,38,21,75,129,146,131,67,101,63,5,1,0,0,0,0,778,0.001285,0.048843,0.026992,0.096401,0.165809,0.187660,0.168380,0.086118,0.129820,0.080976,0.006426,0.001285,0.000000,0.000000,0.000000,0.000000
43,"EW21","STN Buona Vista","100 North Buona Vista Road",4,58,79,178,269,186,227,159,127,130,8,2,0,0,0,0,1427,0.002803,0.040644,0.055360,0.124737,0.188507,0.130343,0.159074,0.111422,0.088997,0.091100,0.005606,0.001401,0.000000,0.000000,0.000000,0.000000
44,"EW22","STN Dover","Commonwealth Ave",4,35,120,270,212,71,158,265,65,129,81,2,0,0,0,0,1412,0.002832,0.024787,0.084985,0.191218,0.150141,0.050283,0.111898,0.187677,0.046033,0.091359,0.057365,0.001416,0.000000,0.000000,0.000000,0.000000
45,"EW23","STN Clementi","3150 Commonwealth Ave West",3,37,149,183,32,29,92,113,68,49,24,11,1,2,0,0,793,0.003783,0.046658,0.187894,0.230769,0.040353,0.036569,0.116015,0.142496,0.085750,0.061790,0.030264,0.013871,0.001261,0.002522,0.000000,0.000000
